jahr;monat;tourismusregion;tourismusjahr;tourismushalbjahr;unterkunft_6;ankuenfte;uebernachtungen
2004;10;Region Villach;2003/04;SHJ;Sonstige inkl. Camping;3495;14608
2004;10;Wörthersee/Rosental;2003/04;SHJ;Gew. Betr. 2/1*;453;1716
2004;10;Wörthersee/Rosental;2003/04;SHJ;Gew. Betr. 3*;3408;8723
2004;10;Wörthersee/Rosental;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;7210;21202
2004;10;Wörthersee/Rosental;2003/04;SHJ;Gew. FEWO;370;2028
2004;10;Wörthersee/Rosental;2003/04;SHJ;Priv. FEWO;125;1496
2004;10;Wörthersee/Rosental;2003/04;SHJ;Privatquartiere;134;604
2004;10;Wörthersee/Rosental;2003/04;SHJ;Sonstige inkl. Camping;810;4854
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Gew. Betr. 2/1*;397;1470
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Gew. Betr. 3*;1415;2751
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Gew. Betr. 5*/4*/4* S;1971;6693
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Gew. FEWO;80;400
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Priv. FEWO;306;2737
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Privatquartiere;249;1490
2004;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2004/05;WHJ;Sonstige inkl. Camping;572;2543
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Gew. Betr. 2/1*;697;1808
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Gew. Betr. 3*;2880;7580
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Gew. Betr. 5*/4*/4* S;550;1496
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Gew. FEWO;440;1830
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Priv. FEWO;795;2744
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Privatquartiere;386;1734
2004;11;Hohe Tauern – die Nationalpark Region in Kärnten;2004/05;WHJ;Sonstige inkl. Camping;387;982
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Gew. Betr. 2/1*;30;143
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Gew. Betr. 3*;127;230
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Gew. Betr. 5*/4*/4* S;12;286
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Priv. FEWO;16;126
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Privatquartiere;1;22
2004;11;Katschberg/Lieser- und Maltatal;2004/05;WHJ;Sonstige inkl. Camping;16;77
2004;11;Klopeiner See – Südkärnten/Lavanttal;2004/05;WHJ;Gew. Betr. 2/1*;1179;2742
2004;11;Klopeiner See – Südkärnten/Lavanttal;2004/05;WHJ;Gew. Betr. 3*;1475;3037
2004;11;Klopeiner See – Südkärnten/Lavanttal;2004/05;WHJ;Gew. Betr. 5*/4*/4* S;928;9161
