Jahr;Tourismushalbjahr;Tourismusregion;Unterkunft;Art;Anzahl
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) n. auf Bauernhof;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) n. auf Bauernhof;Zusatzbetten;157
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betriebe;24
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betten;440
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zimmer;199
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zusatzbetten;37
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 3 *;Betriebe;47
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 3 *;Betten;1699
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 3 *;Zimmer;803
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 3 *;Zusatzbetten;180
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betriebe;7
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betten;826
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zimmer;357
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zusatzbetten;105
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Ferienwohnung bzw. -haus;Betriebe;12
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Ferienwohnung bzw. -haus;Betten;139
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Ferienwohnung bzw. -haus;Zimmer;51
1998;Sommer;Katschberg/Lieser- und Maltatal;Gewerbl. Ferienwohnung bzw. -haus;Zusatzbetten;20
1998;Sommer;Katschberg/Lieser- und Maltatal;Jugendherbergen u. -gästehäuser;Betriebe;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Jugendherbergen u. -gästehäuser;Betten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Jugendherbergen u. -gästehäuser;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Jugendherbergen u. -gästehäuser;Zusatzbetten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kinder- u. Jugenderholungsheime;Betriebe;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kinder- u. Jugenderholungsheime;Betten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kinder- u. Jugenderholungsheime;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kinder- u. Jugenderholungsheime;Zusatzbetten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kurheim der Sozialversich.träger;Betriebe;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kurheim der Sozialversich.träger;Betten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kurheim der Sozialversich.träger;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Kurheim der Sozialversich.träger;Zusatzbetten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Private u. öffentl. Kurheime;Betriebe;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Private u. öffentl. Kurheime;Betten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Private u. öffentl. Kurheime;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Private u. öffentl. Kurheime;Zusatzbetten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere auf Bauernhof;Betriebe;38
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere auf Bauernhof;Betten;260
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere auf Bauernhof;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere auf Bauernhof;Zusatzbetten;32
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere nicht auf Bauernhof;Betriebe;63
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere nicht auf Bauernhof;Betten;397
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere nicht auf Bauernhof;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Privatquartiere nicht auf Bauernhof;Zusatzbetten;40
1998;Sommer;Katschberg/Lieser- und Maltatal;Sonstige Fremdenunterkunft;Betriebe;21
1998;Sommer;Katschberg/Lieser- und Maltatal;Sonstige Fremdenunterkunft;Betten;160
1998;Sommer;Katschberg/Lieser- und Maltatal;Sonstige Fremdenunterkunft;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Sonstige Fremdenunterkunft;Zusatzbetten;15
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Bewirtschaftete Schutzhütten;Betriebe;16
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Bewirtschaftete Schutzhütten;Betten;214
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Bewirtschaftete Schutzhütten;Zimmer;0
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Bewirtschaftete Schutzhütten;Zusatzbetten;128
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Campingplatz;Betriebe;12
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Campingplatz;Betten;7290
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Campingplatz;Zimmer;0
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Campingplatz;Zusatzbetten;0
1998;Sommer;Klopeiner See – Südkärnten/Lavanttal;Ferienwohnung (priv.) auf Bauernhof;Betriebe;64
